date,open_price
2025-01-06,148.59
2025-01-07,153.03
2025-01-08,142.58
2025-01-10,137.45
2025-01-13,129.99
2025-01-14,136.05
2025-01-15,133.65
2025-01-16,138.64
2025-01-17,136.69
2025-01-21,139.16
2025-01-22,144.66
2025-01-23,145.05
2025-01-24,148.37
2025-01-27,124.8
2025-01-28,121.81
2025-01-29,126.5
2025-01-30,123.1
2025-01-31,123.78
2025-02-03,114.75
2025-02-04,116.96
2025-02-05,121.76
2025-02-06,127.42
2025-02-07,129.22
2025-02-10,130.09
2025-02-11,132.58
2025-02-12,130.02
2025-02-13,131.555
2025-02-14,136.48
2025-02-18,141.27
2025-02-19,139.51
2025-02-20,140.03
2025-02-21,140.04
2025-02-24,136.56
2025-02-25,129.98
2025-02-26,129.985
2025-02-27,135
2025-02-28,118.02
